 Date , SP500 , MSFT-US , AAPL-US , AMZN-US , BRK.B-US , FB-US , JNJ-US , JPM-US , GOOG-US , GOOGL-US , XOM-US , BAC-US , UNH-US , PFE-US , V-US , VZ-US , PG-US , T-US , INTC-US , CVX-US , WFC-US , NTRS-US , SBAC-US , ROK-US , CLX-US , FE-US , MAT-US , UAA-US , NFX-US , COTY-US , NWS-US 
 10/01/2017 ,-0.0003613,-0.0017535,0.0028627,-0.0008787,-0.0032716,-0.0037654,0.0011205,0.0041827,-0.0038002,-0.0012816,-0.0142252,0.0154936,0.0019222,-0.0044657,-0.0047736,0.0013284,-0.0100782,0.003689,-0.0002735,-0.005192,0.0049679,0.0003361,-0.0011682,0.0038128,-0.0133885,-0.01524,-0.0193443, -   ,-0.0186321,0.0053023,0.0121458
 11/01/2017 ,0.0029622,0.0092637,0.008506,0.0067535,0.0042714,0.0139928,-0.0116299,0.0075206,0.0036149,0.0039196,0.0105936,0.0056669,0.0036576,-0.0161822,0.0067693,-0.0030406,0.0043171,0.0056959,0.0120515,0.0067739,0.003663,0.0089667,0.0235582,0.0117128,-0.0042775,0.0131884,-0.0143621,-0.00521,0.0066874,-0.0169311,0.008032
 12/01/2017 ,-0.0003082,-0.007136,0.0029859,0.016656,-0.003642,0.0080408,0.0030629,-0.0059938,-0.0009664,0.0013883,-0.0106566,-0.0039113,0.0041438,0.0021518,0.0039484,0.0047683,0.0015529,0.0108453,-0.0032586,-0.0029185,-0.0027447,0.0016735,0.0087324,-0.0030455,0.0039622,-0.0016272,0.0081771,0.0013184,-0.003517,-0.000539,-0.0040001
 13/01/2017 ,0.000836,0.0012776,-0.0005877,0.003463,0.0005562,0.0066672,-0.0029581,-0.0047066,0.0004954,-0.0000722,0.0009275,-0.0086171,-0.0022198,-0.0045914,0.0018515,-0.0032245,0.0019082,0.0009776,0.0021794,0.0044881,0.0036291,0.0004438,0.0055243,0.0073785,0.0036105,-0.000979,-0.0033762,-0.0088962,-0.0080492,0.0069929, -   
 16/01/2017 ,0.000836,0.0012776,-0.0005877,0.003463,0.0005562,0.0066672,-0.0029581,-0.0047066,0.0004954,-0.0000722,0.0009275,-0.0086171,-0.0022198,-0.0045914,0.0018515,-0.0032245,0.0019082,0.0009776,0.0021794,0.0044881,0.0036291,0.0004438,0.0055243,0.0073785,0.0036105,-0.000979,-0.0033762,-0.0088962,-0.0080492,0.0069929, -   
 17/01/2017 ,-0.0005509,-0.0023931,0.0140274,-0.0073311,-0.0143245,-0.0013277,0.0081622,-0.0162484,-0.0030604,-0.0030602,0.0090089,-0.0277778,-0.0119919,-0.0089643,0.0061914,0.0036156,0.0156138,0.0026829,0.0035455,-0.0010309,-0.0186133,-0.0168414,0.0129487,-0.0119576,0.0144662,0.0093973,0.0372483,0.00668,-0.0108057,0.0143387,0.0241935
 18/01/2017 ,0.0012119,-0.0027124,-0.0000834,-0.0024954,0.0028118,-0.0038159,-0.0020881,0.003707,0.0003227,-0.00094,-0.0089595,0.0147982,-0.0206134,-0.0018697,0.0039376,-0.0051409,0.0015331,-0.0085053,-0.0035241,0.0022475,0.0091113,0.0053867,0.0140178,-0.0012844,-0.0032972,-0.010296,-0.0170967,-0.0307133,0.0009608,-0.0130346,-0.011811
 19/01/2017 ,-0.0036137,0.0009639,0.0031825,-0.0011852,-0.0087676,-0.005303,-0.0041857,-0.0090411,-0.0036578,-0.005585,-0.0144237,-0.0087989,0.0060858,-0.011229,-0.0007335,-0.0036155,0.0008271,0.0026902,0.0016433,-0.0026748,0.0062685,-0.0068966,-0.0117735,-0.0017825,-0.005294,-0.0107702,-0.0157119,-0.0128465,-0.0035911,-0.0174325,-0.007968
 20/01/2017 ,0.0005947,0.001117,-0.0037359,-0.0085247, -   ,-0.0082748,-0.0029696,0.0028766,-0.0023423,-0.0011097,0.0052666,-0.0008825,-0.0022639,0.0015764,-0.0030454,0.0022812,0.006445,0.0029037,0.0048966,-0.0061898,0.0058448,-0.0052507,-0.0077104,-0.0030499,-0.0023007,-0.0102141,-0.0059603,-0.0024063,-0.0071225,0.0160256,-0.0080321
 23/01/2017 ,-0.0011377,0.0041467,0.0006666,0.0137333,-0.0086148,0.0127248,-0.0052396,0.004922,0.0149396,0.0154159,-0.0082867,-0.0026527,0.0028371,-0.0069443,0.0055079,-0.0009532,-0.0014929,0.0130246,-0.0080927,0.0023454,-0.0084079,-0.0046954,-0.0033273,-0.0055401,0.005568,-0.0179105,0.004985,-0.0169316,-0.0045949,-0.0141885,0.0040485
