Date,SP500,MSFT-US,AAPL-US,AMZN-US,BRK.B-US,FB-US,JNJ-US,GOOGL-US,XOM-US,UNH-US,PFE-US,V-US,VZ-US,PG-US,T-US,INTC-US,CVX-US,SBAC-US,ROK-US,CLX-US,FE-US,MAT-US,UAA-US,NFX-US,COTY-US,NWS-US
05/01/2017,0.0031479,0.01607979,0.0330401,0.04920228,-0.01115446,0.06082786,-0.01094815,0.0276904,-0.03747646,0.00086545,-0.01618219,0.01817301,-0.03212153,-0.00781892,-0.04126048,0.01371746,-0.01754229,-0.0027619,0.02898233,-0.02728399,-0.00678712,0.01548526, -   ,-0.01403509,-0.01693109,0.02868851
06/01/2017,-0.00030822,0.004976,0.02115091,0.03998159,-0.01242046,0.04661928,-0.01757092,0.01784071,-0.02759326,0.00377133,-0.03149135,0.00086129,-0.01844597,-0.0129621,-0.0231063,0.00685664,-0.01098346,0.00689655,0.0173461,-0.02751918,-0.00097689,-0.04517588,-0.00360774,-0.01323427,-0.02111924,0.01632661
09/01/2017,0.00046182,-0.000956,0.00924133,0.02398496,-0.00699215,0.03876973,-0.01504072,0.00553021,-0.02119693,-0.0012343,-0.0272212,-0.01349052,-0.01258931,-0.00059468,-0.00799239,0.0084979,0.00077395,0.01960595,0.02151087,-0.02639066,-0.01922441,-0.02830819,-0.01602879,-0.01388562,-0.00952377,0.01632661
10/01/2017,0.00216767,-0.00047819,0.00227332,0.02578458,-0.00061728,0.02820061,-0.01232419,0.00467917,-0.00940684,0.00328659,-0.03185481,-0.00648711,-0.0026571,-0.00391266,0.00737812,0.00656643,0.00709597,0.02774533,0.02151087,-0.01214873,-0.00745781,-0.03213122,-0.02051449,-0.01179245,-0.0074232,0.00809716
11/01/2017,-0.00031297,-0.00127783,0.01061152,0.02023537,-0.01176179,0.0283072,-0.01042388,0.00101619,0.0169964,-0.00396797,-0.03925679,0.00012312,0.00228054,0.02182532,0.01807817,0.00794299,0.00981334,0.03998045,-0.00271358,0.01752918,0.02703601,0.03239805,-0.01856073,0.00573203,0.01058208,0.02008023
12/01/2017,0.00033023,-0.00888025,0.0092098,0.00895903,-0.00932099,0.01839026,0.00376308,0.00077259,-0.01134427,-0.02442942,-0.01537048,0.00666267,-0.00343311,0.02260902,0.00566921,-0.00190098,-0.00480687,0.02734862,-0.00871158,0.01930532,0.00097611,0.03816011,-0.03263019,-0.02297773,0.02048509,0.00399983
13/01/2017,-0.00398198,-0.00511025,0.00562508,-0.00648394,-0.01483221,0.00047063,-0.00643822,-0.00797834,-0.01785068,-0.02133704,-0.02969082,0.00876353,-0.00682842,0.01813656,0.00195517,-0.00381348,-0.00241657,0.00733403,-0.00674027,0.00965577,-0.01077016,0.01519239,-0.03789127,-0.01467803,0.00053789, -   
16/01/2017,-0.0006292,0.00191632,0.0074722,-0.00735583,-0.00988814,-0.00352969,-0.00687325,-0.00340554,-0.00440471,-0.02158351,-0.02754816,0.01012099, -   ,0.05119316,0.01295241,0.00626533,-0.00224412,0.00514335,-0.00276701,0.01947942,-0.01958212,0.01350441,-0.04382208,-0.00994318,0.02313059,-0.00803212
17/01/2017,-0.00173634,0.00446713,0.01470328,0.00267255,-0.01944925,0.00695095,-0.00026322,0.01738554,-0.01859553,-0.02176975,-0.02751152,0.01721158,-0.00266418,0.04467984,0.0243903,0.00272736,-0.00867689,-0.00180901,-0.00926918,0.01850088,-0.04050547,0.01476511,-0.0497662,-0.03312192,-0.00371766, -   
18/01/2017,0.0048168,0.01356318,-0.00025006,0.01598518,0.00424894,0.00747605,-0.02766651,0.02377681,-0.02262822,-0.00391175,-0.02929257,0.02411723,-0.04569691,0.03608486,0.0051032,0.01978834,0.0059647,-0.01401781,0.01348648,0.00920492,-0.0482625,0.00612907,-0.05746367,0.0189767,-0.00938491,-0.00787385
